accession	name	segment	date	host	country	abbreviation	virus	strain
KU595895	EV71/FJQZ224/CHN/2015		2015-XX-XX	Human	2015	China		EV71/FJQZ224/CHN/2015
KU595896	EV71/FJQZ190/CHN/2015		2015-XX-XX	Human	2015	China		EV71/FJQZ190/CHN/2015
KU595901	EV71/FJQZ003/CHN/2015		2015-XX-XX	Human	2015	China		EV71/FJQZ003/CHN/2015
KU595908	EV71/FJPT005/CHN/2015		2015-XX-XX	Human	2015	China		EV71/FJPT005/CHN/2015
KU595920	EV71/FJLY055/CHN/2015		2015-XX-XX	Human	2015	China		EV71/FJLY055/CHN/2015
KU595948	EV71/FJFZ042/CHN/2015		2015-XX-XX	Human	2015	China		EV71/FJFZ042/CHN/2015
KU595956	EV71/FJXM008/CHN/2015		2015-XX-XX	Human	2015	China		EV71/FJXM008/CHN/2015
KU641487	15339/BW/DE 2011		2011-XX-XX	Human	2011	Germany	A71	15339/BW/DE2011
KU641489	22784/BB/DE 2013		2013-11-XX	Human	2013-11	Germany	A71	22784/BB/DE2013
KU726114	158-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	158-2014-Henan
KU726118	242-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	242-2014-Henan
KU726120	247-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	247-2014-Henan
KU726129	327-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	327-2014-Henan
KU726135	433-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	433-2014-Henan
KU726152	841-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	841-2014-Henan
KU726157	853-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	853-2014-Henan
KU726161	861-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	861-2014-Henan
KU726179	1150-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	1150-2014-Henan
KU726183	413-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	413-2014-Henan
KU726186	545-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	545-2014-Henan
KU726187	561-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	561-2014-Henan
KU726197	987-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	987-2014-Henan
KU726213	1275-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	1275-2014-Henan
KU726226	1425-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	1425-2014-Henan
KU726228	1442-2014-Henan		2014-09-XX	Human	2014-09	China	EV-A71	1442-2014-Henan
KU744443	2-2015-Henan		2015-05-XX	Human	2015-05	China	EV-A71	2-2015-Henan
KU744444	13-2015-Henan		2015-05-XX	Human	2015-05	China	EV-A71	13-2015-Henan
KU744446	25-2015-Henan		2015-05-XX	Human	2015-05	China	EV-A71	25-2015-Henan
KU744448	54-2015-Henan		2015-05-XX	Human	2015-05	China	EV-A71	54-2015-Henan
KU887765	C5-012S-2009_Vietnam:HoChiMinh_2009-04-10		2009-04-10	Human	2009-04-10	Viet Nam	C5	C5-012S-2009_Vietnam_HoChiMinh_2009-04-10
KU887783	C5-046TS-2009_Vietnam:HoChiMinh_2009-05-03		2009-05-03	Human	2009-05-03	Viet Nam	C5	C5-046TS-2009_Vietnam_HoChiMinh_2009-05-03
KU887788	C5-054TS-2009_Vietnam:BaRia_2009-05-04		2009-05-04	Human	2009-05-04	Viet Nam	C5	C5-054TS-2009_Vietnam_BaRia_2009-05-04
KU887812	C4-1064TS-2011_Vietnam:HoChiMinh_2011-08-19		2011-08-19	Human	2011-08-19	Viet Nam	C4	C4-1064TS-2011_Vietnam_HoChiMinh_2011-08-19
KU887866	C4-133TS-2011_Vietnam:TienGiang_2011-05-27		2011-05-27	Human	2011-05-27	Viet Nam	C4	C4-133TS-2011_Vietnam_TienGiang_2011-05-27
KU887869	B5-136P-2013_Vietnam:BenTre_2013-03-18		2013-03-18	Human	2013-03-18	Viet Nam	B5	B5-136P-2013_Vietnam_BenTre_2013-03-18
KU887873	C4-1377TS-2011_Vietnam:TayNinh_2011-09-08		2011-09-08	Human	2011-09-08	Viet Nam	C4	C4-1377TS-2011_Vietnam_TayNinh_2011-09-08
KU887876	C4-1391TS-2011_Vietnam:HoChiMinh_2011-09-15		2011-09-15	Human	2011-09-15	Viet Nam	C4	C4-1391TS-2011_Vietnam_HoChiMinh_2011-09-15
KU887882	C4-152TS-2011_Vietnam:HoChiMinh_2011-05-31		2011-05-31	Human	2011-05-31	Viet Nam	C4	C4-152TS-2011_Vietnam_HoChiMinh_2011-05-31
KU887883	C5-153TS-2003_Vietnam:TayNinh_2003-06-15		2003-06-15	Human	2003-06-15	Viet Nam	C5	C5-153TS-2003_Vietnam_TayNinh_2003-06-15
KU887889	C5-16-2007_Vietnam:NinhThuan_2007-02-02		2007-02-02	Human	2007-02-02	Viet Nam	C5	C5-16-2007_Vietnam_NinhThuan_2007-02-02
KU887911	C4-1804TS-2011_Vietnam:SocTrang_2011-10-20		2011-10-20	Human	2011-10-20	Viet Nam	C4	C4-1804TS-2011_Vietnam_SocTrang_2011-10-20
KU887916	C4-1868S-2011_Vietnam:BinhDuong_2011-10-28		2011-10-28	Human	2011-10-28	Viet Nam	C4	C4-1868S-2011_Vietnam_BinhDuong_2011-10-28
KU887924	C4-200S-2011_Vietnam:BinhDuong_2011-06-04		2011-06-04	Human	2011-06-04	Viet Nam	C4	C4-200S-2011_Vietnam_BinhDuong_2011-06-04
KU887933	C5-209S-2010_Vietnam:HoChiMinh_2010-03-04		2010-03-04	Human	2010-03-04	Viet Nam	C5	C5-209S-2010_Vietnam_HoChiMinh_2010-03-04
KU887943	B5-230P-2013_Vietnam:TienGiang_2013-05-01		2013-05-01	Human	2013-05-01	Viet Nam	B5	B5-230P-2013_Vietnam_TienGiang_2013-05-01
KU887957	C5-247-2006_Vietnam:KienGiang_2006-04-15		2006-04-15	Human	2006-04-15	Viet Nam	C5	C5-247-2006_Vietnam_KienGiang_2006-04-15
KU887961	B5-257TS-2011_Vietnam:VinhLong_2011-06-16		2011-06-16	Human	2011-06-16	Viet Nam	B5	B5-257TS-2011_Vietnam_VinhLong_2011-06-16
KU887963	C4-259TS-2005_Vietnam:DongNai_2005-05-01		2005-05-01	Human	2005-05-01	Viet Nam	C4	C4-259TS-2005_Vietnam_DongNai_2005-05-01
KU887964	C5-260N-2013_Vietnam:BaRia_2013-04-26		2013-04-26	Human	2013-04-26	Viet Nam	C5	C5-260N-2013_Vietnam_BaRia_2013-04-26
KU887971	C5-276S-2003_Vietnam:TienGiang_2003-08-15		2003-08-15	Human	2003-08-15	Viet Nam	C5	C5-276S-2003_Vietnam_TienGiang_2003-08-15
KU887974	B5-278N-2013_Vietnam:HoChiMinh_2013-05-16		2013-05-16	Human	2013-05-16	Viet Nam	B5	B5-278N-2013_Vietnam_HoChiMinh_2013-05-16
KU887979	C5-283TS-2011_Vietnam:TienGiang_2011-06-20		2011-06-20	Human	2011-06-20	Viet Nam	C5	C5-283TS-2011_Vietnam_TienGiang_2011-06-20
KU887982	C5-288S-2003_Vietnam:HoChiMinh_2003-08-15		2003-08-15	Human	2003-08-15	Viet Nam	C5	C5-288S-2003_Vietnam_HoChiMinh_2003-08-15
KU887990	C5-290TS-2011_Vietnam:HoChiMinh_2011-06-22		2011-06-22	Human	2011-06-22	Viet Nam	C5	C5-290TS-2011_Vietnam_HoChiMinh_2011-06-22
KU887994	B5-302P-2013_Vietnam:VinhLong_2013-05-15		2013-05-15	Human	2013-05-15	Viet Nam	B5	B5-302P-2013_Vietnam_VinhLong_2013-05-15
KU887996	B5-304P-2013_Vietnam:VinhLong_2013-05-21		2013-05-21	Human	2013-05-21	Viet Nam	B5	B5-304P-2013_Vietnam_VinhLong_2013-05-21
KU888018	C5-346S-2005_Vietnam:HoChiMinh_2005-10-05		2005-10-05	Human	2005-10-05	Viet Nam	C5	C5-346S-2005_Vietnam_HoChiMinh_2005-10-05
KU888025	C4-354TS-2012_Vietnam:TienGiang_2012-04-26		2012-04-26	Human	2012-04-26	Viet Nam	C4	C4-354TS-2012_Vietnam_TienGiang_2012-04-26
KU888050	C5-413S-2010_Vietnam:BinhPhuoc_2010-05-18		2010-05-18	Human	2010-05-18	Viet Nam	C5	C5-413S-2010_Vietnam_BinhPhuoc_2010-05-18
KU888055	C4-444TS-2011_Vietnam:BenTre_2011-07-04		2011-07-04	Human	2011-07-04	Viet Nam	C4	C4-444TS-2011_Vietnam_BenTre_2011-07-04
KU888056	C4-445TS-2011_Vietnam:HoChiMinh_2011-07-04		2011-07-04	Human	2011-07-04	Viet Nam	C4	C4-445TS-2011_Vietnam_HoChiMinh_2011-07-04
KU888063	B5-463N-2013_Vietnam:LongAn_2013-06-24		2013-06-24	Human	2013-06-24	Viet Nam	B5	B5-463N-2013_Vietnam_LongAn_2013-06-24
KU888071	C5-51TS-2008_Vietnam:DongNai_2008-05-15		2008-05-15	Human	2008-05-15	Viet Nam	C5	C5-51TS-2008_Vietnam_DongNai_2008-05-15
KU888083	C4-568TS-2011_Vietnam:HoChiMinh_2011-07-15		2011-07-15	Human	2011-07-15	Viet Nam	C4	C4-568TS-2011_Vietnam_HoChiMinh_2011-07-15
KU888113	C4-639S-2004_Vietnam:HoChiMinh_2004-09-14		2004-09-14	Human	2004-09-14	Viet Nam	C4	C4-639S-2004_Vietnam_HoChiMinh_2004-09-14
KU888123	B5-664P-2013_Vietnam:AnGiang_2013-10-23		2013-10-23	Human	2013-10-23	Viet Nam	B5	B5-664P-2013_Vietnam_AnGiang_2013-10-23
KU888144	C5-71S-2007_Vietnam:DongNai_2007-10-15		2007-10-15	Human	2007-10-15	Viet Nam	C5	C5-71S-2007_Vietnam_DongNai_2007-10-15
KU888150	C5-75TS-2008_Vietnam:HoChiMinh_2008-06-15		2008-06-15	Human	2008-06-15	Viet Nam	C5	C5-75TS-2008_Vietnam_HoChiMinh_2008-06-15
KU936126	SHAPHC5510/SH/CHN/14		2014-07-07	Human	2014-07-07	China	C4a	SHAPHC5510/SH/CHN/14
KU936130	SHAPHC5330/SH/CHN/14		2014-04-20	Human	2014-04-20	China	C4a	SHAPHC5330/SH/CHN/14
KU936132	SHAPHC5468/SH/CHN/14		2014-06-15	Human	2014-06-15	China	C4a	SHAPHC5468/SH/CHN/14
KX244864	20160057-TW		2016-04-11	Human	2016-04-11	Taiwan	C4a	20160057-TW
KX267855	EV71-TW-96023-2011		2011-09-23	Human	2011-09-23	Taiwan	C4	EV71-TW-96023-2011
KX272844	20160050-TW		2016-03-29	Human	2016-03-29	Taiwan	C4a	20160050-TW
JQ900605	SiICRC 10/TH/2011		2011-08-15	Unknown	2011-08-15	Thailand		SiICRC10/TH/2011
KX372690	FL13047T/AH/CHN/2013		2013-XX-XX	Human	2013	China	C4	FL13047T/AH/CHN/2013
KX372693	FL13061T/AH/CHN/2013		2013-XX-XX	Human	2013	China	C4	FL13061T/AH/CHN/2013
KX430821	EVA71/Homosapiens/VNM/14.1/2012		2012-XX-XX	Human	2012	Viet Nam	EV-A71	EVA71/Homosapiens/VNM/14.1/2012
KX871447	SHCA2016-097		2016-XX-XX	Human	2016	China	A71	SHCA2016-097
KX871480	SHEV2012-010		2012-XX-XX	Human	2012	China	A71	SHEV2012-010
KX871481	SHEV2012-013		2012-XX-XX	Human	2012	China	A71	SHEV2012-013
KX871485	SHEV2012-032		2012-XX-XX	Human	2012	China	A71	SHEV2012-032
KX871489	SHEV2012-040		2012-XX-XX	Human	2012	China	A71	SHEV2012-040
KX871491	SHEV2012-060		2012-XX-XX	Human	2012	China	A71	SHEV2012-060
KX871492	SHEV2012-E3		2012-XX-XX	Human	2012	China	A71	SHEV2012-E3
KX871515	SHEV2013-010		2013-XX-XX	Human	2013	China	A71	SHEV2013-010
KX871516	SHEV2013-011		2013-XX-XX	Human	2013	China	A71	SHEV2013-011
KX871518	SHEV2013-013		2013-XX-XX	Human	2013	China	A71	SHEV2013-013
KX871528	SHEV2013-132		2013-XX-XX	Human	2013	China	A71	SHEV2013-132
KX871538	SHEV2013-JW4		2013-XX-XX	Human	2013	China	A71	SHEV2013-JW4
KX871541	SHEV2013-JW6		2013-XX-XX	Human	2013	China	A71	SHEV2013-JW6
KX871545	SHEV2014-016		2014-XX-XX	Human	2014	China	A71	SHEV2014-016
KX871557	SHEV2014-033		2014-XX-XX	Human	2014	China	A71	SHEV2014-033
KX871558	SHEV2014-034		2014-XX-XX	Human	2014	China	A71	SHEV2014-034
KX871569	SHEV2014-120		2014-XX-XX	Human	2014	China	A71	SHEV2014-120
KX871597	SHEV2014-JW24		2014-XX-XX	Human	2014	China	A71	SHEV2014-JW24
KX871600	SHEV2014-JW30		2014-XX-XX	Human	2014	China	A71	SHEV2014-JW30
KX871618	SHEV2015-020		2015-XX-XX	Human	2015	China	A71	SHEV2015-020
KX871624	SHEV2015-26		2015-XX-XX	Human	2015	China	A71	SHEV2015-26
KX871631	SHEV2015-943		2015-XX-XX	Human	2015	China	A71	SHEV2015-943
KX871633	SHEV2016-024		2016-XX-XX	Human	2016	China	A71	SHEV2016-024
KX871644	SHEV2016-035		2016-XX-XX	Human	2016	China	A71	SHEV2016-035
KX871648	SHEV2016-039		2016-XX-XX	Human	2016	China	A71	SHEV2016-039
KX871655	SHEV2016-048		2016-XX-XX	Human	2016	China	A71	SHEV2016-048
KX871662	SHEV2016-056		2016-XX-XX	Human	2016	China	A71	SHEV2016-056
KX871668	SHEV2016-065		2016-XX-XX	Human	2016	China	A71	SHEV2016-065
KX871674	SHEV2012-059		2012-XX-XX	Human	2012	China	A71	SHEV2012-059
KX871684	SHEV2014-947		2014-XX-XX	Human	2014	China	A71	SHEV2014-947
KX893543	32-YN		2015-04-10	Human	2015-04-10	China		32-YN
KY041859	EV71_Indonesia_S8_2016		2016-01-XX	Human	2016-01	Indonesia	B5	EV71_Indonesia_S8_2016
KY041860	EV71_Indonesia_S11_2016		2016-01-XX	Human	2016-01	Indonesia	B5	EV71_Indonesia_S11_2016
KY074644	CCA		2008-XX-XX	Human	2008	China	C4	CCA
KY081978	SJZ2011-0002T/HeB/CHN/2011		2011-02-08	Human	2011-02-08	China	C4a	SJZ2011-0002T/HeB/CHN/2011
KY100879	EV71-HuB-E47-2014		20XX-XX-XX	Human	N/a	China		EV71-HuB-E47-2014
KY100880	EV71-HuB-E01-2014		20XX-XX-XX	Human	N/a	China		EV71-HuB-E01-2014
KY100887	EV71-HuB-E21-2014		20XX-XX-XX	Human	N/a	China		EV71-HuB-E21-2014
KY100889	EV71-HuB-E09-2014		20XX-XX-XX	Human	N/a	China		EV71-HuB-E09-2014
KY100897	EV71-HuB-E01-2015		20XX-XX-XX	Human	N/a	China		EV71-HuB-E01-2015
KY100903	EV71-HuB-E12-2015		20XX-XX-XX	Human	N/a	China		EV71-HuB-E12-2015
KY406804	ZJ/CHN/201501		20XX-XX-XX	Human	N/a	China		ZJ/CHN/201501
KY913349	EV71/JDZ.JX/8-2/2009		2009-12-XX	Human	2009-12	China		EV71/JDZ.JX/8-2/2009
KY913350	EV71/JDZ.JX/9-1/2009		2009-12-XX	Human	2009-12	China		EV71/JDZ.JX/9-1/2009
KY913365	EV71/JX/86/2010		2010-12-XX	Human	2010-12	China		EV71/JX/86/2010
KY913370	EV71/JDZ.JX/106-2/2009		2009-12-XX	Human	2009-12	China		EV71/JDZ.JX/106-2/2009
KY913372	EV71/NC.JX/R119/2010		2010-12-XX	Human	2010-12	China		EV71/NC.JX/R119/2010
KY913377	EV71/YC.JX/R272-2/2010		2010-12-XX	Human	2010-12	China		EV71/YC.JX/R272-2/2010
KY913378	EV71/JX/284/2010		2010-12-XX	Human	2010-12	China		EV71/JX/284/2010
KY913381	EV71/NC.JX/R311/2010		2010-12-XX	Human	2010-12	China		EV71/NC.JX/R311/2010
KY913392	EV71/JJ.JX/R512-1/2010		2010-12-XX	Human	2010-12	China		EV71/JJ.JX/R512-1/2010
KY913397	EV71/YC.JX/R562/2010		2010-12-XX	Human	2010-12	China		EV71/YC.JX/R562/2010
KY913403	EV71/YT.JX/R671/2010		2010-12-XX	Human	2010-12	China		EV71/YT.JX/R671/2010
KY913407	EV71/SR.JX/R733/2010		2010-12-XX	Human	2010-12	China		EV71/SR.JX/R733/2010
KY913412	EV71/YT.JX/R926-1/2010		2010-12-XX	Human	2010-12	China		EV71/YT.JX/R926-1/2010
KY913415	EV71/JX/1032/2010		2010-12-XX	Human	2010-12	China		EV71/JX/1032/2010
KY991466	2239VP1/PL28/2013		2013-XX-XX	Human	2013	Poland		2239VP1/PL28/2013
KY991469	5897VP1/PL22/2016		2016-XX-XX	Human	2016	Poland		5897VP1/PL22/2016
LC124012	20104226-Sapporo-2010Sep		2010-09-07	Human	2010-09-07	Japan		20104226-Sapporo-2010Sep
LC124014	20144042-Sapporo-2014May		2014-05-19	Human	2014-05-19	Japan		20144042-Sapporo-2014May
LC124016	20144058-Sapporo-2014Jun		2014-06-19	Human	2014-06-19	Japan		20144058-Sapporo-2014Jun
LC147340	210B-YN-CHN-2011		2011-XX-XX	Human	2011	China	A71	210B-YN-CHN-2011
LC147345	236B-YN-CHN-2011		2011-XX-XX	Human	2011	China	A71	236B-YN-CHN-2011
LC147352	264B-YN-CHN-2011		2011-XX-XX	Human	2011	China	A71	264B-YN-CHN-2011
LC147357	278B-YN-CHN-2011		2011-XX-XX	Human	2011	China	A71	278B-YN-CHN-2011
LC147361	285B-YN-CHN-2011		2011-XX-XX	Human	2011	China	A71	285B-YN-CHN-2011
LC147366	98Y-YN-CHN-2014		2014-XX-XX	Human	2014	China	A71	98Y-YN-CHN-2014
LC147373	9Y-YN-CHN-2015		2015-XX-XX	Human	2015	China	A71	9Y-YN-CHN-2015
LC411779	A25/YN/CHN/2014		2014-XX-XX	Human	2014	China		A25/YN/CHN/2014
LC411793	A118/YN/CHN/2014		2014-XX-XX	Human	2014	China		A118/YN/CHN/2014
LC411813	C32/YN/CHN/2014		2014-XX-XX	Human	2014	China		C32/YN/CHN/2014
LC411816	C81/YN/CHN/2014		2014-XX-XX	Human	2014	China		C81/YN/CHN/2014
LC411817	C122/YN/CHN/2014		2014-XX-XX	Human	2014	China		C122/YN/CHN/2014
LC411835	L4/YN/CHN/2014		2014-XX-XX	Human	2014	China		L4/YN/CHN/2014
LC411840	L14/YN/CHN/2014		2014-XX-XX	Human	2014	China		L14/YN/CHN/2014
LC411847	L31/YN/CHN/2014		2014-XX-XX	Human	2014	China		L31/YN/CHN/2014
LC411852	M33/YN/CHN/2014		2014-XX-XX	Human	2014	China		M33/YN/CHN/2014
LC411856	M048/YN/CHN/2014		2014-XX-XX	Human	2014	China		M048/YN/CHN/2014
LC411860	M062/YN/CHN/2014		2014-XX-XX	Human	2014	China		M062/YN/CHN/2014
LC411861	M69/YN/CHN/2014		2014-XX-XX	Human	2014	China		M69/YN/CHN/2014
LC411867	M113/YN/CHN/2014		2014-XX-XX	Human	2014	China		M113/YN/CHN/2014
LC411869	M117/YN/CHN/2014		2014-XX-XX	Human	2014	China		M117/YN/CHN/2014
LC411874	M139/YN/CHN/2014		2014-XX-XX	Human	2014	China		M139/YN/CHN/2014
LC411880	M174/YN/CHN/2014		2014-XX-XX	Human	2014	China		M174/YN/CHN/2014
LC411885	N012/YN/CHN/2014		2014-XX-XX	Human	2014	China		N012/YN/CHN/2014
LC412156	A44-YN-CHN-2015		2015-XX-XX	Human	2015	China		A44-YN-CHN-2015
LC412159	A99-YN-CHN-2015		2015-XX-XX	Human	2015	China		A99-YN-CHN-2015
LC412161	A127-YN-CHN-2015		2015-XX-XX	Human	2015	China		A127-YN-CHN-2015
LC412174	C113-YN-CHN-2015		2015-XX-XX	Human	2015	China		C113-YN-CHN-2015
LC412180	D6-YN-CHN-2015		2015-XX-XX	Human	2015	China		D6-YN-CHN-2015
LC412184	D12-YN-CHN-2015		2015-XX-XX	Human	2015	China		D12-YN-CHN-2015
LC412188	H1-YN-CHN-2015		2015-XX-XX	Human	2015	China		H1-YN-CHN-2015
LC412200	J44-YN-CHN-2015		2015-XX-XX	Human	2015	China		J44-YN-CHN-2015
LC412778	A38-YN-CHN-2016		2016-XX-XX	Human	2016	China		A38-YN-CHN-2016
LC412783	A63-YN-CHN-2016		2016-XX-XX	Human	2016	China		A63-YN-CHN-2016
LC412791	A97-YN-CHN-2016		2016-XX-XX	Human	2016	China		A97-YN-CHN-2016
LC412796	A152-YN-CHN-2016		2016-XX-XX	Human	2016	China		A152-YN-CHN-2016
LC412799	A159-YN-CHN-2016		2016-XX-XX	Human	2016	China		A159-YN-CHN-2016
LC412803	C18-YN-CHN-2016		2016-XX-XX	Human	2016	China		C18-YN-CHN-2016
LC412830	D75-YN-CHN-2016		2016-XX-XX	Human	2016	China		D75-YN-CHN-2016
LC412831	D76-YN-CHN-2016		2016-XX-XX	Human	2016	China		D76-YN-CHN-2016
LC412886	J177-YN-CHN-2016		2016-XX-XX	Human	2016	China		J177-YN-CHN-2016
LC412901	R101-YN-CHN-2016		2016-XX-XX	Human	2016	China		R101-YN-CHN-2016
LC412988	A11-YN-CHN-2017		2017-XX-XX	Human	2017	China		A11-YN-CHN-2017
LC412992	A34-YN-CHN-2017		2017-XX-XX	Human	2017	China		A34-YN-CHN-2017
LC412999	A62-YN-CHN-2017		2017-XX-XX	Human	2017	China		A62-YN-CHN-2017
LC413002	A91-YN-CHN-2017		2017-XX-XX	Human	2017	China		A91-YN-CHN-2017
LC413006	A147-YN-CHN-2017		2017-XX-XX	Human	2017	China		A147-YN-CHN-2017
LC413012	B47-YN-CHN-2017		2017-XX-XX	Human	2017	China		B47-YN-CHN-2017
LC413025	B74-YN-CHN-2017		2017-XX-XX	Human	2017	China		B74-YN-CHN-2017
LC413026	B75-YN-CHN-2017		2017-XX-XX	Human	2017	China		B75-YN-CHN-2017
LC413045	H33-YN-CHN-2017		2017-XX-XX	Human	2017	China		H33-YN-CHN-2017
LC481441	A373-YN-CHN-2018		2018-XX-XX	Human	2018	China		A373-YN-CHN-2018
LG059178	UNKNOWN-LG059178		20XX-XX-XX	Unknown	N/a			UNKNOWN-LG059178
LR027532	23	TOU307036	FRA16		N/a	Unknown		23
LR027533	13	COC286037	FRA16		N/a	Unknown		13
LR027537	16	VSV286034	FRA16		N/a	Unknown		16
LR027538	18	VSV286036	FRA16		N/a	Unknown		18
LR027543	STU546711	DEU08	20XX-XX-XX		Unknown			STU546711
LR798434	EV-A71-C4-TUN-2011-S14		2011-XX-XX	Unknown	2011	Tunisia		EV-A71-C4-TUN-2011-S14
LR798439	EV-A71-C2-ALG-2013-328-DZA		2013-XX-XX	Unknown	2013	Algeria		EV-A71-C2-ALG-2013-328-DZA
MF185259	184-4_GX_2013		2013-XX-XX	Unknown	2013	China		184-4_GX_2013
MF185263	208-1_GX_2012		2012-XX-XX	Unknown	2012	China		208-1_GX_2012
MF185264	218-1_GX_2012		2012-XX-XX	Unknown	2012	China		218-1_GX_2012
MF185272	124-3_GX_2012		2012-XX-XX	Unknown	2012	China		124-3_GX_2012
MF185274	113-1_GX_2012		2012-XX-XX	Unknown	2012	China		113-1_GX_2012
MF185279	098-1_GX_2012		2012-XX-XX	Unknown	2012	China		098-1_GX_2012
MF185302	543_GX_2015		2015-XX-XX	Unknown	2015	China		543_GX_2015
MF185306	553_GX_2014		2014-XX-XX	Unknown	2014	China		553_GX_2014
MF185309	561_GX_2014		2014-XX-XX	Unknown	2014	China		561_GX_2014
MF662679	R176/YN/CHN/2009		2009-07-25	Human	2009-07-25	China		R176/YN/CHN/2009
MF662681	K509/YN/CHN/2010		2010-05-24	Human	2010-05-24	China		K509/YN/CHN/2010
MF662688	R14/YN/CHN/2011		2011-06-12	Human	2011-06-12	China		R14/YN/CHN/2011
MG207962	4-23/XY/CHN/2017		2017-05-12	Human	2017-05-12	China		4-23/XY/CHN/2017
MG208882	EV71/SHENZHEN001/2006		2006-06-XX	Human	2006-06	China	C4	EV71/SHENZHEN001/2006
MG367594	DK07-04		2007-06-XX	Human	2007-06	Denmark	C	DK07-04
MG431943	EV71/CZTN01/CHN/2017		2017-XX-XX	Human	2017	China		EV71/CZTN01/CHN/2017
MG588019	Hanting/136/SD/CHN/2017/EV71		2017-XX-XX	Human	2017	China		Hanting/136/SD/CHN/2017/EV71
MG588025	Changle/391/SD/CHN/2017/EV71		2017-XX-XX	Human	2017	China		Changle/391/SD/CHN/2017/EV71
MG588027	Xiashan/467/SD/CHN/2016/EV71		2016-XX-XX	Human	2016	China		Xiashan/467/SD/CHN/2016/EV71
MG588030	Shouguang/150/SD/CHN/2016/EV71		2016-XX-XX	Human	2016	China		Shouguang/150/SD/CHN/2016/EV71
MG588036	Anqiu/286/SD/CHN/2016/EV71		2016-XX-XX	Human	2016	China		Anqiu/286/SD/CHN/2016/EV71
MG588048	Gaomi/308/SD/CHN/2014/EV71		2014-XX-XX	Human	2014	China		Gaomi/308/SD/CHN/2014/EV71
MG588049	Gaomi/218/SD/CHN/2014/EV71		2014-XX-XX	Human	2014	China		Gaomi/218/SD/CHN/2014/EV71
MG595264	Qingzhou/345/SD/CHN/2017/EV71		2017-XX-XX	Human	2017	China		Qingzhou/345/SD/CHN/2017/EV71
MG756691	TW-50837-2016		2016-XX-XX	Human	2016	Taiwan		TW-50837-2016
MG756699	TW-01952-2005		2005-XX-XX	Human	2005	Taiwan		TW-01952-2005
MG756701	TW-70205-2005		2005-XX-XX	Human	2005	Taiwan		TW-70205-2005
MG756727	TW-01112-2012		2012-XX-XX	Human	2012	Taiwan		TW-01112-2012
MG756736	TW-02131-2012		2012-XX-XX	Human	2012	Taiwan		TW-02131-2012
MG773122	Huainan201401		2014-XX-XX	Human	2014	China		Huainan201401
MG843898	EV71_VP1_THA/CU2479/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2479/2017
MG843901	EV71_VP1_THA/CU2484/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2484/2017
MG843911	EV71_VP1_THA/CU2520/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2520/2017
MG843923	EV71_VP1_THA/CU2563/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2563/2017
MG843924	EV71_VP1_THA/CU2564/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2564/2017
MG843938	EV71_VP1_THA/CU2593/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2593/2017
MG843941	EV71_VP1_THA/CU2603/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2603/2017
MG843949	EV71_VP1_THA/CU2622/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2622/2017
MG843957	EV71_VP1_THA/CU2652/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2652/2017
MG843961	EV71_VP1_THA/CU2667/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2667/2017
MG843962	EV71_VP1_THA/CU2669/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2669/2017
MG843966	EV71_VP1_THA/CU2679/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2679/2017
MG843967	EV71_VP1_THA/CU2684/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2684/2017
MG843973	EV71_VP1_THA/CU2693/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2693/2017
MG843981	EV71_VP1_THA/CU2715/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2715/2017
MG844010	EV71_VP1_THA/CU2768/2017		2017-XX-XX	Human	2017	Thailand		EV71_VP1_THA/CU2768/2017
